Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
1243.0,"HOMEFED BANK, FA",SAVINGS BANK,STATE,"SAN DIEGO, CA",7/6/1992 ,RTC,29234.0,ACQUISITION,8903571,12175590.0,751633.0
1305.0,HOME FSB,SAVINGS BANK,STATE,"NORFOLK, VA",7/10/1992 ,RTC,30091.0,ACQUISITION,195186,224198.0,42797.0
1303.0,"TRANSOHIO, FSB",SAVINGS BANK,STATE,"CLEVELAND, OH",7/10/1992 ,RTC,28387.0,ACQUISITION,2396269,3370809.0,52125.0
1269.0,SOUTHERN FSA OF GEORGIA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ATLANTA, GA",7/10/1992 ,RTC,29724.0,ACQUISITION,151424,159982.0,8384.0
4505.0,STATE BANK OF SPRINGFIELD,COMMERCIAL BANK,STATE,"SPRINGFIELD, MN",7/17/1992 ,BIF,13383.0,ACQUISITION,28464,30267.0,127.0
1257.0,LIBERTY FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"WARRENTON, VA",7/17/1992 ,RTC,31931.0,ACQUISITION,86915,91966.0,12265.0
1247.0,NEW ENGLAND FSA,SAVINGS BANK,STATE,"WELLESLEY, MA",7/17/1992 ,RTC,32444.0,ACQUISITION,118091,137307.0,25919.0
4506.0,FIRST NATIONAL BANK OF TEXAS,COMMERCIAL BANK,FEDERAL,"WEBSTER, TX",7/23/1992 ,BIF,26676.0,ACQUISITION,91348,92076.0,14241.0
1222.0,FIRST RUSSELL COUNTY,SAVINGS ASSOCIATION,FEDERAL/STATE,"PHENIX CITY, AL",7/24/1992 ,RTC,29418.0,ACQUISITION,80457,86987.0,390.0
4507.0,MASSACHUSETTS BANK & TRUST CO.,COMMERCIAL BANK,STATE,"BROCKTON, MA",7/31/1992 ,BIF,18966.0,ACQUISITION,59427,61824.0,13416.0
1270.0,CITADEL FS & LA,SAVINGS BANK,STATE,"CHARLESTON, SC",8/7/1992 ,RTC,32468.0,ACQUISITION,37571,38978.0,8780.0
4508.0,FOXWORTH BANK,COMMERCIAL BANK,STATE,"FOXWORTH, MS",8/7/1992 ,BIF,20396.0,ACQUISITION,36030,36460.0,5375.0
4509.0,WINCHENDON SAVINGS BANK,SAVINGS BANK,STATE,"WINCHENDON, MA",8/14/1992 ,BIF,90307.0,ACQUISITION,64012,65213.0,7309.0
4510.0,ATTLEBORO PAWTUCKET SB,SAVINGS BANK,STATE,"PAWTUCKET, MA",8/21/1992 ,BIF,90257.0,ACQUISITION,567733,632450.0,28119.0
1227.0,BIRMINGHAM FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"BIRMINGHAM, AL",8/21/1992 ,RTC,28078.0,ACQUISITION,82123,91770.0,3416.0
4511.0,THE UNION SAVINGS BANK,SAVINGS BANK,STATE,"PATCHOGUE, NY",8/28/1992 ,BIF,15979.0,ACQUISITION,529486,491100.0,133851.0
1245.0,POTOMAC FSB,SAVINGS BANK,STATE,"SILVER SPRING, MD",8/28/1992 ,RTC,32388.0,ACQUISITION,68838,72326.0,31995.0
4512.0,SEACOAST SAVINGS BANK,SAVINGS BANK,STATE,"DOVER, NH",8/28/1992 ,BIF,18066.0,ACQUISITION,64786,84808.0,7114.0
4513.0,THE FIRST NATIONAL BANK OF YORKTOWN,COMMERCIAL BANK,FEDERAL,"YORKTOWN, TX",9/10/1992 ,BIF,5596.0,ACQUISITION,34512,34439.0,7614.0
4515.0,PLYMOUTH FIVE CENTS SAVINGS BANK,SAVINGS BANK,STATE,"PLYMOUTH, MA",9/18/1992 ,BIF,90266.0,ACQUISITION,182877,220972.0,5281.0
4514.0,THE WASHINGTON BANK,COMMERCIAL BANK,STATE,"FAIRFAX COUNTY, VA",9/18/1992 ,BIF,21181.0,ACQUISITION,27871,28113.0,5071.0
4516.0,FIRST EXCHANGE BANK OF LITTLE ROCK,COMMERCIAL BANK,FEDERAL,"LITTLE ROCK, AR",9/24/1992 ,BIF,27470.0,ACQUISITION,24396,24681.0,1857.0
4518.0,HOMETOWN BANK,COMMERCIAL BANK,STATE,"EDISON, NJ",9/25/1992 ,BIF,27416.0,ACQUISITION,24816,25200.0,7343.0
4517.0,"HIGHLANDS COMMUNITY BANK, N.A.",COMMERCIAL BANK,FEDERAL,"CLINTON TOWNSHIP, NJ",9/25/1992 ,BIF,26844.0,ACQUISITION,19546,19702.0,2511.0
4520.0,THE HOWARD SAVINGS BANK,SAVINGS BANK,STATE,"NEWARK, NJ",10/2/1992 ,BIF,16146.0,ACQUISITION,3378992,3461421.0,67979.0
4519.0,"EASTWEST BANK, N.A.",COMMERCIAL BANK,FEDERAL,"KIHEI, HI",10/2/1992 ,BIF,22850.0,TRANSFER,3398,3754.0,870.0
4521.0,FIRST CONSTITUTION BANK,SAVINGS BANK,STATE,"NEW HAVEN, CT",10/2/1992 ,BIF,27160.0,ACQUISITION,1350530,1571240.0,125592.0
1278.0,PEIDMONT FSA,SAVINGS BANK,STATE,"MANASSAS, VA",10/9/1992 ,RTC,28998.0,ACQUISITION,370085,444605.0,75636.0
4522.0,UNIVERSAL BANK,COMMERCIAL BANK,STATE,"LANHAM, MD",10/16/1992 ,BIF,22689.0,PAYOUT,18050,18026.0,5978.0
1266.0,SECURITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"JACKSON, MS",10/16/1992 ,RTC,31418.0,ACQUISITION,271387,276476.0,42647.0
1312.0,STANDARD FSB,SAVINGS BANK,STATE,"GAITHERSBURG, MD",10/21/1992 ,RTC,31543.0,ACQUISITION,1539974,1717520.0,527571.0
1236.0,HOMESTEAD FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN FRANCISCO, CA",10/30/1992 ,RTC,28218.0,ACQUISITION,1234402,1314538.0,19189.0
4540.0,"FIRST CITY, TEXAS - SAN ANTONIO",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",10/30/1992 ,BIF,24723.0,ACQUISITION,259018,265669.0,0.0
4528.0,"FIRST CITY, TEXAS - CORPUS CHRIS",COMMERCIAL BANK,STATE,"CORPUS CHRISTI, TX",10/30/1992 ,BIF,21190.0,ACQUISITION,383384,462832.0,0.0
4536.0,"FIRST CITY, TEXAS - MADISONVILLE",COMMERCIAL BANK,FEDERAL,"MADISONVILLE, TX",10/30/1992 ,BIF,3318.0,ACQUISITION,114740,123394.0,0.0
4533.0,"FIRST CITY, TEXAS - KOUNTZE, NA",COMMERCIAL BANK,STATE,"KOUNTZE, TX",10/30/1992 ,BIF,17299.0,ACQUISITION,46969,51347.0,0.0
4523.0,"FIRST CITY, TEXAS - ALICE, NA",COMMERCIAL BANK,STATE,"ALICE, TX",10/30/1992 ,BIF,17343.0,ACQUISITION,118027,128044.0,0.0
4534.0,"FIRST CITY, TEXAS - LAKE JACKSON",COMMERCIAL BANK,STATE,"LAKE JACKSON, TX",10/30/1992 ,BIF,16524.0,ACQUISITION,96353,104302.0,0.0
4530.0,"FIRST CITY, TEXAS - EL PASO, NA",COMMERCIAL BANK,FEDERAL,"EL PASO, TX",10/30/1992 ,BIF,16560.0,ACQUISITION,367322,395894.0,0.0
4525.0,"FIRST CITY, TEXAS - AUSTIN, NA",COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",10/30/1992 ,BIF,15721.0,ACQUISITION,331568,345518.0,0.0
4541.0,"FIRST CITY, TEXAS - SOUR LAKE",COMMERCIAL BANK,STATE,"SOUR LAKE, TX",10/30/1992 ,BIF,11914.0,ACQUISITION,48823,53521.0,0.0
4542.0,"FIRST CITY, TEXAS - TYLER, NA",COMMERCIAL BANK,FEDERAL,"TYLER, TX",10/30/1992 ,BIF,5562.0,ACQUISITION,231534,259208.0,0.0
4539.0,"FIRST CITY, TEXAS - SAN ANGELO,",COMMERCIAL BANK,FEDERAL,"SAN ANGELO, TX",10/30/1992 ,BIF,5506.0,ACQUISITION,131932,142819.0,0.0
4532.0,"FIRST CITY, TEXAS - HOUSTON, NA",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",10/30/1992 ,BIF,13702.0,ACQUISITION,2519978,2802064.0,0.0
4524.0,"FIRST CITY, TEXAS - ARANSAS PASS",COMMERCIAL BANK,STATE,"ARANSAS PASS, TX",10/30/1992 ,BIF,20029.0,ACQUISITION,47213,51695.0,0.0
4538.0,"FIRST CITY, TEXAS - ORANGE, NA",COMMERCIAL BANK,FEDERAL,"ORANGE, TX",10/30/1992 ,BIF,3374.0,ACQUISITION,122457,131984.0,0.0
4537.0,"FIRST CITY, TEXAS - MIDLAND, NA",COMMERCIAL BANK,FEDERAL,"MIDLAND, TX",10/30/1992 ,BIF,3344.0,ACQUISITION,289991,313055.0,0.0
4526.0,"FIRST CITY, TEXAS - BEAUMONT, NA",COMMERCIAL BANK,FEDERAL,"BEAUMONT, TX",10/30/1992 ,BIF,3093.0,ACQUISITION,488695,532248.0,0.0
4531.0,"FIRST CITY, TEXAS - GRAHAM, NA",COMMERCIAL BANK,FEDERAL,"GRAHAM, TX",10/30/1992 ,BIF,3227.0,ACQUISITION,86486,95398.0,0.0
4535.0,"FIRST CITY, TEXAS - LUFKIN, NA",COMMERCIAL BANK,FEDERAL,"LUFKIN, TX",10/30/1992 ,BIF,3316.0,ACQUISITION,145727,156640.0,0.0
4529.0,"FIRST CITY, TEXAS - DALLAS, NA",COMMERCIAL BANK,STATE,"DALLAS, TX",10/30/1992 ,BIF,1722.0,ACQUISITION,1307005,1359158.0,0.0
4527.0,"FIRST CITY, TEXAS - BRYAN, NA",COMMERCIAL BANK,FEDERAL,"BRYAN, TX",10/30/1992 ,BIF,3120.0,ACQUISITION,318838,340189.0,0.0
4544.0,"GREENWOOD BANK OF BETHEL, INC.",COMMERCIAL BANK,STATE,"BETHEL, CT",11/6/1992 ,BIF,27456.0,ACQUISITION,33160,33255.0,9775.0
1242.0,"FIRST FSB OF GEORGIA, FA",SAVINGS BANK,STATE,"WINDER, GA",11/6/1992 ,RTC,30159.0,ACQUISITION,97532,108173.0,4423.0
4545.0,GUARANTY-FIRST TRUST COMPANY,COMMERCIAL BANK,STATE,"WALTHAM, MA",11/13/1992 ,BIF,17085.0,ACQUISITION,348942,353230.0,60206.0
4547.0,INVESTORS BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"GRETNA, LA",11/13/1992 ,BIF,25721.0,ACQUISITION,50767,51586.0,4787.0
4548.0,STATEWIDE THRIFT AND LOAN CO.,COMMERCIAL BANK,STATE,"REDWOOD CITY, CA",11/13/1992 ,BIF,26656.0,ACQUISITION,9455,9636.0,2341.0
4549.0,FIRST NEW YORK BANK FOR BUSINESS,COMMERCIAL BANK,STATE,"NEW YORK, NY",11/13/1992 ,BIF,22073.0,ACQUISITION,498907,530651.0,164561.0
4546.0,METRO NORTH STATE BANK,COMMERCIAL BANK,STATE,"KANSAS CITY, MO",11/13/1992 ,BIF,21199.0,ACQUISITION,493828,472467.0,159537.0
1229.0,THE OVERLAND PARK FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"OVERLAND PARK, KS",11/13/1992 ,RTC,30655.0,ACQUISITION,95324,213413.0,6406.0
4550.0,THE MERCHANTS BANK,COMMERCIAL BANK,STATE,"KANSAS CITY, MO",11/20/1992 ,BIF,15886.0,ACQUISITION,1395338,1451535.0,123159.0
1254.0,IRVING FB FOR SAVINGS,SAVINGS BANK,STATE,"CHICAGO, IL",11/20/1992 ,RTC,27660.0,ACQUISITION,246268,246965.0,4589.0
1225.0,CRESTLINE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CRESTLINE, OH",11/20/1992 ,RTC,29768.0,ACQUISITION,26775,27455.0,6949.0
1275.0,POLIFLY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW MILFORD, NJ",11/20/1992 ,RTC,28394.0,ACQUISITION,374000,457974.0,35138.0
4551.0,BURRITT INTERFINANCIAL BANCORPORATION,SAVINGS BANK,STATE,"NEW BRITAIN, CT",12/4/1992 ,BIF,18245.0,ACQUISITION,506022,523850.0,78973.0
4553.0,HERITAGE BANK FOR SAVINGS,SAVINGS BANK,STATE,"HOLYOKE, MA",12/4/1992 ,BIF,21996.0,ACQUISITION,1000727,1288435.0,24010.0
4552.0,HUNTINGTON PACIFIC THRIFT & LOAN,COMMERCIAL BANK,STATE,"HUNTINGTON, CA",12/4/1992 ,BIF,26440.0,PAYOUT,38255,40476.0,17368.0
1309.0,CARTERET FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"MADISON, NJ",12/4/1992 ,RTC,30080.0,ACQUISITION,2716356,4827462.0,23977.0
1287.0,SECURITY FEDERAL,SAVINGS ASSOCIATION,FEDERAL/STATE,"VINELAND, NJ",12/4/1992 ,RTC,30217.0,ACQUISITION,857581,1185897.0,41434.0
1302.0,"SECOND NATIONAL, FSB",SAVINGS BANK,STATE,"SALISBURY, MD",12/4/1992 ,RTC,32339.0,ACQUISITION,1159197,1572770.0,78024.0
1240.0,PALM BEACH FSA,SAVINGS BANK,STATE,"PALM BEACH GARDEN, FL",12/8/1992 ,RTC,32244.0,ACQUISITION,54369,59403.0,20897.0
4557.0,EASTLAND BANK,COMMERCIAL BANK,STATE,"WOONSOCKET, RI",12/11/1992 ,BIF,19725.0,ACQUISITION,76172,85405.0,0.0
4554.0,SAILORS & MERCHANTS B&T CO.,COMMERCIAL BANK,STATE,"VIENNA, VA",12/11/1992 ,BIF,25306.0,ACQUISITION,34481,34775.0,4958.0
4558.0,EASTLAND SAVINGS BANK,SAVINGS BANK,STATE,"WOONSOCKET, RI",12/11/1992 ,BIF,16977.0,ACQUISITION,499012,515301.0,10303.0
4556.0,MERITOR SAVINGS BANK,SAVINGS BANK,STATE,"PHILADELPHIA, PA",12/11/1992 ,BIF,15750.0,ACQUISITION,2909344,4126701.0,0.0
4560.0,THE RUSHVILLE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"RUSHVILLE, IN",12/18/1992 ,BIF,4378.0,ACQUISITION,39677,41631.0,6046.0
4559.0,THE BREMEN STATE BANK,COMMERCIAL BANK,STATE,"BREMEN, KS",12/18/1992 ,BIF,17428.0,PAYOUT,2623,2679.0,722.0
4561.0,COLUMBIA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SANTA MONICA, CA",1/22/1993 ,BIF,24320.0,ACQUISITION,47627,47618.0,17631.0
1258.0,LIFE FSB,SAVINGS BANK,STATE,"BATON ROUGE, LA",1/29/1993 ,RTC,33186.0,ACQUISITION,16512,16753.0,2207.0
1290.0,OLD STONE SB,SAVINGS BANK,STATE,"PROVIDENCE, RI",1/29/1993 ,RTC,29892.0,ACQUISITION,1704347,1847236.0,73560.0
1220.0,VISTA FSA,SAVINGS BANK,STATE,"CANOGA PARK, CA",1/29/1993 ,RTC,32484.0,PAYOUT,94489,105114.0,15123.0
4562.0,FIRST NATIONAL BANK OF VERMONT,COMMERCIAL BANK,FEDERAL,"BRADFORD, VT",1/29/1993 ,BIF,6290.0,ACQUISITION,282378,295784.0,25528.0
4563.0,AMERICAN BANK OF HALTOM CITY,COMMERCIAL BANK,STATE,"HALTOM CITY, TX",2/5/1993 ,BIF,17118.0,ACQUISITION,100195,99525.0,14480.0
4564.0,THE PLANTERS NB OF ROSEBUD,COMMERCIAL BANK,FEDERAL,"ROSEBUD, TX",2/25/1993 ,BIF,5499.0,ACQUISITION,13636,13728.0,1499.0
4565.0,JEFFERSON NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"WATERTOWN, NY",2/26/1993 ,BIF,7135.0,ACQUISITION,248652,256014.0,43540.0
4566.0,"FIRST AMERICAN CAPITAL BANK, N.A",COMMERCIAL BANK,FEDERAL,"LAGUNA BEACH, CA",3/4/1993 ,BIF,23631.0,ACQUISITION,26276,28451.0,7393.0
1293.0,"THE GUARDIAN BANK, FSB",COMMERCIAL BANK,STATE,"BOCA RATON, FL",3/16/1993 ,RTC,32238.0,ACQUISITION,69245,75564.0,3589.0
4567.0,"UNITED BANK, N.A.",COMMERCIAL BANK,FEDERAL,"LANCASTER, TX",3/18/1993 ,BIF,3295.0,ACQUISITION,49016,49805.0,161.0
4569.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,"VEGA, TX",4/1/1993 ,BIF,11890.0,ACQUISITION,20743,21444.0,2828.0
1251.0,PIONEER FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PRAIRIE VILLAGE, KS",4/2/1993 ,RTC,27773.0,ACQUISITION,128001,132850.0,36310.0
4570.0,OLYMPIC NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LOS ANGELES, CA",4/2/1993 ,BIF,24564.0,ACQUISITION,80484,82446.0,25230.0
4571.0,COLLEGE BOULEVARD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"OVERLAND PARK, KS",4/2/1993 ,BIF,24111.0,ACQUISITION,190827,202754.0,15438.0
4572.0,MIDLAND BANK OF KANSAS,COMMERCIAL BANK,STATE,"MISSION, KS",4/2/1993 ,BIF,19444.0,ACQUISITION,120891,124262.0,12899.0
4573.0,PREMIER BANK,COMMERCIAL BANK,STATE,"NORTHRIDGE, CA",4/8/1993 ,BIF,23581.0,ACQUISITION,69818,73024.0,8857.0
4574.0,"FIRST WESTERN BANK, N.A.",COMMERCIAL BANK,FEDERAL,"SAN DIEGO, CA",4/15/1993 ,BIF,24676.0,ACQUISITION,15313,16235.0,3092.0
4575.0,VALLEY NATIONAL BANK OF FREMONT,COMMERCIAL BANK,FEDERAL,"HAMBURG, IA",4/29/1993 ,BIF,14787.0,ACQUISITION,6809,6952.0,165.0
4576.0,AMERICAN COMMERCE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"ANAHEIM, CA",4/30/1993 ,BIF,25055.0,ACQUISITION,127661,139087.0,43596.0
4577.0,"WILSHIRE CENTER BANK,",COMMERCIAL BANK,FEDERAL,"LOS ANGELES, CA",5/6/1993 ,BIF,24653.0,ACQUISITION,9391,9677.0,5919.0
4578.0,CROWN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"CHARLOTTE, NC",5/20/1993 ,BIF,32731.0,ACQUISITION,24804,26341.0,1658.0
4580.0,NEW ENGLAND SAVINGS BANK,SAVINGS BANK,STATE,"NEW LONDON, CT",5/21/1993 ,BIF,18257.0,ACQUISITION,720512,914884.0,116968.0
4579.0,PALOS VERDES NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"ROLLING HILLS EST, CA",5/21/1993 ,BIF,23796.0,ACQUISITION,47775,45633.0,10296.0
1300.0,WESTERN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"MARINA DEL RAY, CA",6/4/1993 ,RTC,29671.0,ACQUISITION,2704214,3796241.0,107864.0
4581.0,BANKCENTRAL AMARILLO,COMMERCIAL BANK,STATE,"AMARILLO, TX",6/10/1993 ,BIF,17963.0,ACQUISITION,34059,34745.0,2515.0
4582.0,AMERICAN BANK AND TRUST,COMMERCIAL BANK,STATE,"SAN JOSE, CA",6/18/1993 ,BIF,21560.0,ACQUISITION,34583,35577.0,5528.0
4583.0,CAPITAL BANK OF CALIFORNIA,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",6/18/1993 ,BIF,23183.0,PAYOUT,224691,227732.0,64131.0
4584.0,CITY NATIONAL BANK OF WASHINGTON,COMMERCIAL BANK,FEDERAL,"WASHINGTON, DC",6/25/1993 ,BIF,27307.0,ACQUISITION,22716,23984.0,1023.0
4586.0,WESTHEIMER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",7/1/1993 ,BIF,24846.0,ACQUISITION,28116,27945.0,8175.0
4585.0,"EAGLE BANK OF CHAMPAIGN COUNTY, NATIONAL A",COMMERCIAL BANK,FEDERAL,"RANTOUL, IL",7/1/1993 ,BIF,3733.0,ACQUISITION,19706,20188.0,679.0
4588.0,JEFFERSON BANK & TRUST,COMMERCIAL BANK,STATE,"LAKEWOOD, CO",7/2/1993 ,BIF,16335.0,ACQUISITION,119404,127077.0,38567.0
4587.0,EMERALD CITY BANK,COMMERCIAL BANK,STATE,"SEATTLE, WA",7/2/1993 ,BIF,27268.0,ACQUISITION,7219,7845.0,1053.0
4590.0,CITY THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",7/9/1993 ,BIF,26495.0,PAYOUT,36977,39383.0,17697.0
4591.0,FIRST CALIFORNIA BANK,COMMERCIAL BANK,STATE,"LA MESA, CA",7/9/1993 ,BIF,26488.0,ACQUISITION,77014,79395.0,14330.0
4592.0,FIDELITY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",7/22/1993 ,BIF,24757.0,ACQUISITION,50348,52624.0,5473.0
4593.0,THE WOLFE CITY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"WOLFE CITY, TX",7/29/1993 ,BIF,5592.0,ACQUISITION,32231,30421.0,4851.0
4594.0,"NEW ATLANTIC BANK, NA",COMMERCIAL BANK,FEDERAL,"NORFOLK, VA",8/12/1993 ,BIF,32728.0,ACQUISITION,14364,15083.0,792.0
1260.0,GOLDEN STATE FSB,SAVINGS BANK,STATE,"IRVINE, CA",8/13/1993 ,RTC,32228.0,PAYOUT,46554,50629.0,4521.0
4595.0,TARRANT BANK,COMMERCIAL BANK,STATE,"FORT WORTH, TX",8/25/1993 ,BIF,18220.0,ACQUISITION,59718,62583.0,7328.0
4596.0,MARITIME BANK OF CALIFORNIA,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",8/27/1993 ,BIF,23135.0,ACQUISITION,30932,31761.0,5922.0
1234.0,AMADOR VALLEY S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,"PLEASANTON, CA",9/10/1993 ,RTC,32136.0,ACQUISITION,41150,41886.0,2775.0
4597.0,REGENT THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,"SAN FRANCISCO, CA",9/17/1993 ,BIF,27174.0,ACQUISITION,7228,35751.0,1450.0
1267.0,"WESTSIDE BANK, FSB",COMMERCIAL BANK,STATE,"LOS ANGELES, CA",9/24/1993 ,RTC,32229.0,PAYOUT,76949,81689.0,21646.0
4598.0,WESTERN UNITED NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LOS ANGELES, CA",9/24/1993 ,BIF,24654.0,PAYOUT,22602,23727.0,7232.0
4599.0,"PLAZA BANK, N.A. OF NEW BRAUNFELS",COMMERCIAL BANK,FEDERAL,"NEW BRAUNFELS, TX",10/14/1993 ,BIF,8446.0,ACQUISITION,56897,54647.0,2725.0
4600.0,BRENTWOOD THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",10/15/1993 ,BIF,26995.0,PAYOUT,11481,12920.0,3323.0
4601.0,"MID CITY BANK, N.A.",COMMERCIAL BANK,FEDERAL,"BREA, CA",10/21/1993 ,BIF,24452.0,ACQUISITION,102630,105734.0,14270.0
4602.0,THE BANK OF SAN DIEGO,COMMERCIAL BANK,STATE,"SAN DIEGO, CA",10/29/1993 ,BIF,22815.0,ACQUISITION,289131,294277.0,58850.0
4603.0,CENTURY THRIFT AND LOAN,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",11/5/1993 ,BIF,26374.0,PAYOUT,24486,31876.0,9553.0
4606.0,MECHANICS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"PARAMOUNT, CA",4/1/1994 ,BIF,19367.0,ACQUISITION,148881,148713.0,47674.0
4607.0,SUPERIOR NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"KANSAS CITY, MO",4/14/1994 ,BIF,25678.0,TRANSFER,19618,19970.0,3650.0
4608.0,COMMERCIAL BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"LOWELL, MA",5/6/1994 ,BIF,18332.0,ACQUISITION,29762,30274.0,3750.0
4609.0,BARBARY COAST NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SAN FRANCISCO, CA",5/19/1994 ,BIF,27027.0,ACQUISITION,9296,10678.0,684.0
1284.0,"ENCINO SAVINGS BANK, FSB",SAVINGS BANK,STATE,"ENCINO, CA",6/3/1994 ,RTC,31484.0,ACQUISITION,89098,92470.0,7424.0
4610.0,THE BANK OF HARTFORD,SAVINGS BANK,STATE,"HARTFORD, CT",6/10/1994 ,BIF,26909.0,ACQUISITION,276016,321457.0,13815.0
4612.0,THE MERIDEN TRUST AND SAFE DEPOSIT,COMMERCIAL BANK,STATE,"MERIDEN, CT",7/7/1994 ,BIF,20442.0,TRANSFER,0,3203.0,0.0
4611.0,PIONEER BANK,COMMERCIAL BANK,STATE,"FULLERTON, CA",7/8/1994 ,BIF,23448.0,ACQUISITION,128382,133250.0,14515.0
4613.0,BANK OF SAN PEDRO,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",7/15/1994 ,BIF,21922.0,ACQUISITION,128303,132636.0,28821.0
4615.0,WESTERN COMMUNITY BANK,COMMERCIAL BANK,STATE,"CORONA, CA",7/29/1994 ,BIF,23157.0,ACQUISITION,53141,54013.0,2618.0
4614.0,COMMERCE BANK,COMMERCIAL BANK,STATE,"NEWPORT BEACH, CA",7/29/1994 ,BIF,22796.0,ACQUISITION,138296,142315.0,14107.0
4616.0,BANK OF NEWPORT,COMMERCIAL BANK,STATE,"NEWPORT BEACH, CA",8/12/1994 ,BIF,20637.0,ACQUISITION,161785,167802.0,28711.0
4617.0,CAPITAL BANK,COMMERCIAL BANK,STATE,"DOWNEY, CA",8/26/1994 ,BIF,3432.0,ACQUISITION,74408,76892.0,17839.0
4618.0,LUDLOW SAVINGS BANK,SAVINGS BANK,STATE,"LUDLOW, MA",10/21/1994 ,BIF,90230.0,ACQUISITION,229130,222671.0,2866.0
1308.0,CORNERSTONE BANK FSB,SAVINGS BANK,STATE,"MISSION VIEJO, CA",12/16/1994 ,RTC,32374.0,ACQUISITION,38410,44345.0,4047.0
4619.0,GUARDIAN BANK,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",1/20/1995 ,BIF,24754.0,TRANSFER,297948,316944.0,20450.0
4620.0,FIRST TRUST BANK,COMMERCIAL BANK,STATE,"ONTARIO, CA",3/3/1995 ,BIF,3480.0,ACQUISITION,223573,227695.0,25627.0
4621.0,LOS ANGELES THRIFT AND LOAN COMPANY,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",3/31/1995 ,BIF,33190.0,ACQUISITION,22280,23388.0,6078.0
1310.0,CONTINENTAL SAVINGS OF AMERICA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN FRANCISCO, CA",4/28/1995 ,RTC,31899.0,ACQUISITION,357025,359422.0,22226.0
1311.0,AMERICAN S & L ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW YORK, NY",5/5/1995 ,RTC,29781.0,ACQUISITION,57667,64397.0,5967.0
4622.0,"BANK USA, N.A.",COMMERCIAL BANK,FEDERAL,"KIHEI, MAUI, HI",5/19/1995 ,BIF,23751.0,ACQUISITION,9124,9048.0,2593.0
4624.0,PACIFIC HERITAGE BANK,COMMERCIAL BANK,STATE,"TORRANCE, CA",7/28/1995 ,BIF,23319.0,ACQUISITION,146100,147685.0,19349.0
4623.0,FOUNDERS BANK,COMMERCIAL BANK,STATE,"NEW HAVEN, CT",7/28/1995 ,BIF,26187.0,ACQUISITION,77362,77364.0,10374.0
4625.0,METROBANK OF PHILADELPHIA,COMMERCIAL BANK,FEDERAL,"PHILADELPHIA, PA",3/8/1996 ,BIF,27525.0,ACQUISITION,39177,40379.0,7701.0
4626.0,PEOPLE'S BANK & TRUST,COMMERCIAL BANK,STATE,"BORGER, TX",5/31/1996 ,BIF,18662.0,ACQUISITION,22288,22739.0,3378.0
